id,Names,Distance,Mass,Radius
197,"['W', 'I', 'S', 'E', ' ', '0', '1', '2', '3', '+', '4', '1', '4', '2']","['6', '7', '.', '2']",[],[]
198,"['W', 'I', 'S', 'E', ' ', '0', '1', '3', '5', '+', '1', '7', '1', '5']","['7', '7', '.', '3']",[],[]
199,"['W', 'I', 'S', 'E', ' ', '0', '1', '3', '8', '-', '0', '3', '2', '2']","['5', '7', '.', '7']",[],[]
200,"['W', 'I', 'S', 'E', ' ', '0', '1', '4', '6', '+', '4', '2', '3', '4']","['2', '0', '.', '5']",[],[]
201,"['W', 'I', 'S', 'E', ' ', '0', '1', '4', '8', '-', '7', '2', '0', '2']","['3', '0']",[],[]
202,"['W', 'I', 'S', 'E', ' ', '0', '1', '5', '0', '+', '3', '8', '2', '7']","['6', '1', '.', '3']",[],[]
203,"['W', 'I', 'S', 'E', ' ', '0', '2', '0', '6', '+', '2', '6', '4', '0']","['5', '8', '.', '4']",[],[]
204,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '1', '+', '3', '8', '4', '2']","['7', '3', '.', '1']",[],[]
205,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '3', '-', '2', '9', '3', '2']","['4', '7']",[],[]
206,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '6', '-', '0', '2', '1', '1']","['9', '1']",[],[]
